"full_species","count"
"Allenopithecus_nigroviridis",2
"Allochrocebus_lhoesti",2
"Allochrocebus_preussi",1
"Allochrocebus_solatus",1
"Alouatta_belzebul",1
"Alouatta_caraya",2
"Alouatta_discolor",2
"Alouatta_juara",2
"Alouatta_macconnelli",5
"Alouatta_nigerrima",2
"Alouatta_palliata",1
"Alouatta_puruensis",6
"Alouatta_seniculus",15
"Aotus_azarae",14
"Aotus_griseimembra",4
"Aotus_trivirgatus",1
"Aotus_vociferans",5
"Arctocebus_calabarensis",1
"Ateles_belzebuth",2
"Ateles_chamek",11
"Ateles_geoffroyi",1
"Ateles_marginatus",1
"Ateles_paniscus",2
"Cacajao_ayresi",3
"Cacajao_calvus",19
"Cacajao_hosomi",2
"Cacajao_melanocephalus",2
"Callimico_goeldii",1
"Callithrix_geoffroyi",1
"Callithrix_jacchus",1
"Callithrix_kuhlii",1
"Cebuella_niveiventris",2
"Cebuella_pygmaea",1
"Cebus_albifrons",3
"Cebus_olivaceus",2
"Cebus_unicolor",4
"Cercocebus_chrysogaster",1
"Cercocebus_lunulatus",1
"Cercocebus_torquatus",2
"Cercopithecus_ascanius",4
"Cercopithecus_cephus",3
"Cercopithecus_diana",1
"Cercopithecus_hamlyni",1
"Cercopithecus_lowei",1
"Cercopithecus_mitis",2
"Cercopithecus_mona",1
"Cercopithecus_neglectus",2
"Cercopithecus_nictitans",2
"Cercopithecus_petaurista",1
"Cercopithecus_pogonias",1
"Cercopithecus_roloway",1
"Cheirogaleus_major",1
"Cheirogaleus_medius",1
"Cheracebus_lucifer",4
"Cheracebus_lugens",8
"Cheracebus_regulus",2
"Cheracebus_torquatus",1
"Chiropotes_albinasus",7
"Chiropotes_israelita",4
"Chiropotes_sagulatus",4
"Chlorocebus_pygerythrus",1
"Colobus_angolensis",1
"Colobus_guereza",1
"Colobus_polykomos",1
"Daubentonia_madagascariensis",1
"Erythrocebus_patas",2
"Eulemur_albifrons",1
"Eulemur_collaris",3
"Eulemur_coronatus",2
"Eulemur_flavifrons",2
"Eulemur_fulvus",1
"Eulemur_macaco",2
"Eulemur_mongoz",1
"Eulemur_rubriventer",1
"Eulemur_rufus",1
"Eulemur_sanfordi",2
"Galago_moholi",1
"Galago_senegalensis",1
"Galagoides_demidoff",1
"Gorilla_beringei",4
"Gorilla_gorilla",49
"Hapalemur_alaotrensis",1
"Hapalemur_gilberti",1
"Hapalemur_griseus",1
"Hapalemur_meridionalis",1
"Hapalemur_occidentalis",1
"Hoolock_hoolock",11
"Hylobates_abbotti",1
"Hylobates_agilis",1
"Hylobates_klossii",1
"Hylobates_lar",1
"Hylobates_muelleri",1
"Lagothrix_lagothricha",1
"Lemur_catta",1
"Leontocebus_fuscicollis",3
"Leontocebus_illigeri",1
"Leontocebus_nigricollis",1
"Leontopithecus_chrysomelas",3
"Leontopithecus_rosalia",2
"Lepilemur_ankaranensis",2
"Lepilemur_dorsalis",1
"Lepilemur_ruficaudatus",1
"Lepilemur_septentrionalis",2
"Lophocebus_aterrimus",1
"Loris_lydekkerianus",2
"Loris_tardigradus",1
"Macaca_arctoides",6
"Macaca_cyclopis",1
"Macaca_fascicularis",25
"Macaca_fuscata",1
"Macaca_leonina",7
"Macaca_maura",1
"Macaca_mulatta",7
"Macaca_nemestrina",5
"Macaca_nigra",1
"Macaca_radiata",13
"Macaca_siberu",1
"Macaca_silenus",13
"Macaca_thibetana",1
"Macaca_tonkeana",1
"Mandrillus_leucophaeus",1
"Mandrillus_sphinx",1
"Mico_argentatus",3
"Mico_humeralifer",1
"Microcebus_murinus",1
"Miopithecus_ogouensis",1
"Mirza_zaza",2
"Nomascus_annamensis",1
"Nomascus_concolor",1
"Nomascus_gabriellae",1
"Nomascus_siki",1
"Nycticebus_bengalensis",8
"Nycticebus_coucang",1
"Nycticebus_pygmaeus",2
"Otolemur_crassicaudatus",2
"Otolemur_garnettii",1
"Pan_paniscus",13
"Pan_troglodytes",29
"Perodicticus_ibeanus",1
"Perodicticus_potto",1
"Pithecia_albicans",1
"Pithecia_chrysocephala",1
"Pithecia_hirsuta",2
"Pithecia_mittermeieri",1
"Pithecia_pissinattii",3
"Pithecia_vanzolinii",1
"Plecturocebus_bernhardi",3
"Plecturocebus_brunneus",2
"Plecturocebus_caligatus",3
"Plecturocebus_cinerascens",2
"Plecturocebus_cupreus",5
"Plecturocebus_dubius",3
"Plecturocebus_grovesi",1
"Plecturocebus_hoffmannsi",1
"Plecturocebus_miltoni",1
"Plecturocebus_moloch",1
"Pongo_abelii",6
"Pongo_pygmaeus",6
"Prolemur_simus",1
"Rhinopithecus_bieti",1
"Rhinopithecus_roxellana",1
"Saguinus_bicolor",1
"Saguinus_imperator",1
"Saguinus_labiatus",2
"Saguinus_midas",3
"Saguinus_mystax",1
"Saguinus_oedipus",1
"Saimiri_cassiquiarensis",9
"Saimiri_macrodon",3
"Saimiri_ustus",10
"Sapajus_apella",3
"Sapajus_macrocephalus",12
"Semnopithecus_entellus",8
"Semnopithecus_hypoleucos",4
"Semnopithecus_johnii",2
"Semnopithecus_priam",1
"Semnopithecus_schistaceus",2
"Semnopithecus_vetulus",3
"Trachypithecus_germaini",1
"Trachypithecus_hatinhensis",1
"Trachypithecus_laotum",1
"Trachypithecus_leucocephalus",1
"Trachypithecus_melamera",1
"Trachypithecus_phayrei",1
"Trachypithecus_pileatus",1
"Varecia_rubra",1
"Varecia_variegata",1
